generation,populationA,populationB,ct,prop_of_popB_from_popA
160,6,8,1,0.00478469
160,6,9,1,0.00465116
160,6,10,1,0.00462963
160,6,11,1,0.00458716
160,6,13,1,0.00456621
160,6,15,1,0.00471698
160,7,4,1,0.00458716
160,7,6,1,0.00458716
160,7,10,1,0.00462963
160,7,11,1,0.00458716
160,7,13,1,0.00456621
160,7,15,1,0.00471698
160,8,6,1,0.00458716
160,8,9,1,0.00465116
160,8,10,1,0.00462963
160,9,6,1,0.00458716
160,9,8,1,0.00478469
160,9,15,1,0.00471698
160,10,0,1,0.00452489
160,10,6,1,0.00458716
160,10,7,1,0.00471698
160,10,8,1,0.00478469
160,10,11,1,0.00458716
160,10,13,1,0.00456621
160,11,0,1,0.00452489
160,11,6,1,0.00458716
160,11,7,1,0.00471698
160,11,10,1,0.00462963
160,11,12,1,0.00465116
160,11,13,1,0.00456621
160,12,2,1,0.00458716
160,12,5,1,0.0046729
160,12,11,1,0.00458716
160,12,13,1,0.00456621
160,12,19,1,0.00456621
160,13,0,1,0.00452489
160,13,6,1,0.00458716
160,13,7,1,0.00471698
160,13,8,1,0.00478469
160,13,10,1,0.00462963
160,13,11,1,0.00458716
160,13,12,1,0.00465116
160,14,4,1,0.00458716
160,14,15,1,0.00471698
160,14,18,1,0.00460829
160,15,6,1,0.00458716
160,15,7,1,0.00471698
160,15,9,1,0.00465116
160,16,3,1,0.00452489
160,16,17,1,0.00469484
160,16,18,1,0.00460829
160,17,3,1,0.00452489
160,17,16,1,0.00454545
160,18,4,1,0.00458716
160,18,14,1,0.0042735
160,18,16,1,0.00454545
160,18,17,1,0.00469484
160,19,5,1,0.0046729
160,19,12,1,0.00465116
180,0,1,1,0.00490196
180,0,6,1,0.00460829
180,0,8,1,0.00480769
180,0,10,1,0.00458716
180,0,11,1,0.00458716
180,0,13,1,0.00454545
180,2,5,1,0.00460829
180,2,12,1,0.00465116
180,3,16,1,0.00452489
180,3,17,1,0.00469484
180,4,7,1,0.00465116
180,4,14,1,0.00423729
180,4,18,1,0.00456621
180,5,2,1,0.00452489
180,5,12,1,0.00465116
180,5,19,1,0.00458716
180,6,0,1,0.0045045
180,6,7,1,0.00465116
180,6,8,1,0.00480769
180,6,9,1,0.0045045
180,6,10,1,0.00458716
180,6,11,1,0.00458716
180,6,13,1,0.00454545
180,6,15,1,0.00469484
180,7,4,1,0.00465116
180,7,6,1,0.00460829
180,7,10,1,0.00458716
180,7,11,1,0.00458716
180,7,13,1,0.00454545
180,7,15,1,0.00469484
180,8,6,1,0.00460829
180,8,9,1,0.0045045
180,8,10,1,0.00458716
180,9,6,1,0.00460829
180,9,8,1,0.00480769
180,9,15,1,0.00469484
180,10,0,1,0.0045045
180,10,6,1,0.00460829
180,10,7,1,0.00465116
180,10,8,1,0.00480769
180,10,11,1,0.00458716
180,10,13,1,0.00454545
180,11,0,1,0.0045045
180,11,6,1,0.00460829
180,11,7,1,0.00465116
180,11,10,1,0.00458716
180,11,12,1,0.00465116
180,11,13,1,0.00454545
180,12,2,1,0.00452489
180,12,5,1,0.00460829
180,12,11,1,0.00458716
180,12,13,1,0.00454545
180,12,19,1,0.00458716
180,13,0,1,0.0045045
180,13,6,1,0.00460829
180,13,7,1,0.00465116
180,13,8,1,0.00480769
180,13,10,1,0.00458716
180,13,11,1,0.00458716
180,13,12,1,0.00465116
180,14,4,1,0.00465116
180,14,15,1,0.00469484
180,14,18,1,0.00456621
180,15,6,1,0.00460829
180,15,7,1,0.00465116
180,15,9,1,0.0045045
180,16,3,1,0.0044843
180,16,17,1,0.00469484
180,16,18,1,0.00456621
180,17,3,1,0.0044843
180,17,16,1,0.00452489
180,18,4,1,0.00465116
180,18,14,1,0.00423729
180,18,16,1,0.00452489
180,18,17,1,0.00469484
180,19,5,1,0.00460829
180,19,12,1,0.00465116
200,0,1,1,0.00492611
200,0,6,1,0.00458716
200,0,8,1,0.00471698
200,0,10,1,0.00452489
200,0,11,1,0.00458716
200,0,13,1,0.00460829
200,2,5,1,0.00454545
200,2,12,1,0.00460829
200,3,16,1,0.00446429
200,3,17,1,0.00462963
200,4,7,1,0.00473934
200,4,14,1,0.00425532
200,4,18,1,0.0045045
200,5,2,1,0.00454545
200,5,12,1,0.00460829
200,5,19,1,0.0045045
200,6,0,1,0.0045045
200,6,7,1,0.00473934
200,6,8,1,0.00471698
200,6,9,1,0.00446429
200,6,10,1,0.00452489
200,6,11,1,0.00458716
200,6,13,1,0.00460829
200,6,15,1,0.0046729
200,7,4,1,0.00454545
200,7,6,1,0.00458716
200,7,10,1,0.00452489
200,7,11,1,0.00458716
200,7,13,1,0.00460829
200,7,15,1,0.0046729
200,8,6,1,0.00458716
200,8,9,1,0.00446429
200,8,10,1,0.00452489
200,9,6,1,0.00458716
200,9,8,1,0.00471698
