generation,population1,population2,ld,f_st
200,5,13,0.00653957,0.0838624
200,5,14,0.0141288,0.165389
200,5,15,0.00878339,0.126548
200,5,16,0.00898553,0.11918
200,5,17,0.00966626,0.126966
200,5,18,0.0116511,0.150754
200,5,19,0.00456275,0.0445006
200,6,7,0.00437613,0.0363466
200,6,8,0.00408005,0.0347993
200,6,9,0.00527801,0.0680999
200,6,10,0.00415032,0.0403004
200,6,11,0.00412783,0.0390913
200,6,12,0.00568301,0.0755086
200,6,13,0.00453409,0.0449675
200,6,14,0.00833716,0.105533
200,6,15,0.00473157,0.0507163
200,6,16,0.00670792,0.0976841
200,6,17,0.00716143,0.101614
200,6,18,0.00834897,0.107829
200,6,19,0.00836667,0.110407
200,7,8,0.00443917,0.0449578
200,7,9,0.00592536,0.077557
200,7,10,0.00470072,0.0412081
200,7,11,0.00421069,0.0314634
200,7,12,0.00577631,0.0723978
200,7,13,0.00451635,0.0363873
200,7,14,0.0077836,0.0894779
200,7,15,0.00460624,0.0446921
200,7,16,0.0068866,0.0953828
200,7,17,0.0068379,0.092435
200,7,18,0.00709353,0.0836163
200,7,19,0.00797686,0.0996208
200,8,9,0.00518524,0.0577073
200,8,10,0.00426617,0.0402961
200,8,11,0.0041829,0.0451677
200,8,12,0.00590312,0.0809725
200,8,13,0.00455463,0.0462942
200,8,14,0.00955102,0.120091
200,8,15,0.00516367,0.0636518
200,8,16,0.00753497,0.108049
200,8,17,0.00775764,0.109202
200,8,18,0.00970065,0.123774
200,8,19,0.00888371,0.113561
200,9,10,0.00641379,0.0879724
200,9,11,0.00657286,0.0957973
200,9,12,0.00810041,0.112058
200,9,13,0.00650523,0.0870924
200,9,14,0.00936463,0.120667
200,9,15,0.00509071,0.0612761
200,9,16,0.00844973,0.117374
200,9,17,0.00873875,0.119711
200,9,18,0.0096168,0.128056
200,9,19,0.0103888,0.137379
200,10,11,0.00386702,0.0298366
200,10,12,0.00528681,0.0685008
200,10,13,0.00411742,0.0305795
200,10,14,0.00974098,0.12386
200,10,15,0.00565916,0.0772909
200,10,16,0.00735543,0.107102
200,10,17,0.00739339,0.104422
200,10,18,0.0100929,0.134596
200,10,19,0.00877489,0.11385
200,11,12,0.00495832,0.0598798
200,11,13,0.00414436,0.031921
200,11,14,0.00937901,0.116731
200,11,15,0.005152,0.066108
200,11,16,0.00746941,0.109709
200,11,17,0.00801911,0.114206
200,11,18,0.00883453,0.119
200,11,19,0.00789489,0.106802
200,12,13,0.00509725,0.0582509
200,12,14,0.0114444,0.140515
200,12,15,0.00645004,0.0897275
200,12,16,0.008572,0.119012
200,12,17,0.00884405,0.12282
200,12,18,0.0108576,0.144396
200,12,19,0.00544831,0.0611904
200,13,14,0.0102468,0.125373
200,13,15,0.00542161,0.0671073
200,13,16,0.00739656,0.102041
200,13,17,0.00728673,0.100193
200,13,18,0.00929209,0.120704
200,13,19,0.00806044,0.0990888
200,14,15,0.00750999,0.0860454
200,14,16,0.00837043,0.113741
200,14,17,0.00902398,0.116611
200,14,18,0.00564892,0.064592
200,14,19,0.0152858,0.173746
200,15,16,0.00784667,0.111211
200,15,17,0.00747552,0.104944
200,15,18,0.00851756,0.109186
200,15,19,0.00991242,0.127213
200,16,17,0.0045881,0.0451257
200,16,18,0.00728921,0.090661
200,16,19,0.0103787,0.128539
200,17,18,0.00772574,0.095471
200,17,19,0.0108985,0.133811
